Rank_num,Youtuber,Subscribers,Video_views,Category,Uploads,Country,Abbreviation,Channel_type,Video_views_for_the_last_30_days,Lowest_monthly_earnings,Highest_monthly_earnings,Lowest_yearly_earnings,Highest_yearly_earnings,Created_year,Created_month,Created_date,Gross_tertiary_education_enrollment_pct,Latitude,Longitude
380,SlivkiShow,20400000,4707412332,Entertainment,462,Ukraine,UA,Entertainment,28990000,7200,116000,87000,1400000,2012,Dec,11,82.7,48.379433,31.16558
381,Emiway Bantai,20400000,3579555124,Music,239,India,IN,Music,41289000,10300,165200,123900,2000000,2013,May,3,28.1,20.593684,78.96288
382,Got Talent Global,20300000,2441288701,Entertainment,1245,United Kingdom,GB,Entertainment,86457000,21600,345800,259400,4100000,2013,Jan,31,60,55.378051,-3.435973
383,ýýýýýýýýýýýýýýý - Genevieve's Playhouse,20300000,11022391339,Education,107,nan,nan,Education,71777000,17900,287100,215300,3400000,2018,Jul,22,nan,nan,nan
384,BabyBus - Cerita & Lagu Anak-anak,20300000,11819051552,Education,875,Indonesia,ID,Education,112768000,28200,451100,338300,5400000,2019,Jan,14,36.3,-0.789275,113.921327
385,Ami Rodriguez,20200000,2951914200,Entertainment,460,Colombia,CO,Entertainment,263864000,66000,1100000,791600,12700000,2009,Jul,20,55.3,4.570868,-74.297333
386,Noor Stars,20200000,2764127969,Comedy,693,United Arab Emirates,AE,Entertainment,15556000,3900,62200,46700,746700,2014,Apr,24,36.8,23.424076,53.847818
387,Family GamesTV,20200000,7066711323,Entertainment,0,nan,nan,Games,nan,0,0,0,0,2012,Dec,29,nan,nan,nan
388,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,20200000,7274150246,Education,226,India,IN,Education,113420000,28400,453700,340300,5400000,2017,May,25,28.1,20.593684,78.96288
389,dednahype,20200000,20919403720,Comedy,1935,Latvia,LV,Comedy,1245000000,311200,5000000,3700000,59800000,2020,Mar,20,88.1,56.879635,24.603189
390,Marta and Rustam,20200000,19694265358,Comedy,761,United States,US,Comedy,452250000,113100,1800000,1400000,21700000,2021,Jun,21,88.2,37.09024,-95.712891
391,MiawAug,20200000,6098644584,Gaming,3713,Indonesia,ID,Games,64489000,16100,258000,193500,3100000,2014,Mar,15,36.3,-0.789275,113.921327
392,CookieSwirlC,20100000,23353115850,Entertainment,3774,United States,US,Games,221702000,55400,886800,665100,10600000,2013,Nov,3,88.2,37.09024,-95.712891
