Rank_num,Youtuber,Subscribers,Video_views,Category,Uploads,Country,Abbreviation,Channel_type,Video_views_for_the_last_30_days,Lowest_monthly_earnings,Highest_monthly_earnings,Lowest_yearly_earnings,Highest_yearly_earnings,Created_year,Created_month,Created_date,Gross_tertiary_education_enrollment_pct,Latitude,Longitude
94, one31,37500000,27262462114,Entertainment,117152,Thailand,TH,Entertainment,140754000.0,35200.0,563000.0,422300.0,6800000,2013.0,Jan,10.0,49.3,15.870032,100.992541
95,Jkk Entertainment,37200000,16402066717,Comedy,220,India,IN,Comedy,49861000.0,12500.0,199400.0,149600.0,2400000,2017.0,Mar,20.0,28.1,20.593684,78.96288
96,ABP NEWS,37000000,13102611515,People  Blogs,301308,India,IN,News,267060000.0,66800.0,1100000.0,801200.0,12800000,2012.0,Jun,1.0,28.1,20.593684,78.96288
97,Maria Clara  JP,37000000,24188861917,People  Blogs,744,Brazil,BR,Entertainment,251449000.0,62900.0,1000000.0,754300.0,12100000,2015.0,Sep,6.0,51.3,-14.235004,-51.92528
98,Bruno Mars,36700000,19378155425,Music,99,United States,US,Music,175243000.0,43800.0,701000.0,525700.0,8400000,2006.0,Sep,19.0,88.2,37.09024,-95.712891
99,Maroon 5,36600000,22553923546,Music,171,United States,US,Music,152825000.0,38200.0,611300.0,458500.0,7300000,2006.0,Mar,9.0,88.2,37.09024,-95.712891
100,Ultra Bollywood,36600000,15653786446,Trailers,9168,India,IN,Entertainment,131462000.0,0.0,0.0,0.0,0,2009.0,Oct,21.0,28.1,20.593684,78.96288
102,YouTube,36300000,3010784935,News  Politics,744,United States,US,Entertainment,21103000.0,5300.0,84400.0,63300.0,1000000,1970.0,Jan,1.0,88.2,37.09024,-95.712891
106,La Granja de Zen,35700000,27118354077,Music,654,Argentina,AR,Music,302071000.0,75500.0,1200000.0,906200.0,14500000,2013.0,Jun,6.0,90.0,-38.416097,-63.616672
107,Saregama Music,35500000,15657673422,Entertainment,7566,India,IN,Music,533793000.0,133400.0,2100000.0,1600000.0,25600000,2013.0,Jan,4.0,28.1,20.593684,78.96288
108,IndiaTV,35500000,16105023749,News  Politics,273255,India,IN,News,290847000.0,72700.0,1200000.0,872500.0,14000000,2006.0,Aug,26.0,28.1,20.593684,78.96288
109,TSeries Bollywood Classics,35400000,22637783517,Music,2010,India,IN,Music,331474000.0,82900.0,1300000.0,994400.0,15900000,2012.0,Apr,2.0,28.1,20.593684,78.96288
111,Markiplier,35200000,20297931219,Gaming,5490,United States,US,Games,127329000.0,31800.0,509300.0,382000.0,6100000,2012.0,May,26.0,88.2,37.09024,-95.712891
